Timestamp,Value
1609461140,36.90517
1609461140,35.675
1609461140,37.37387
1609461140,36.20594
1609461140,37.77121
1609461140,36.66029
1609461140,38.21457
1609461140,37.15306
1609461140,38.36784
1609461140,37.35816
1609461140,38.20564
1609461140,37.2505
1609461140,38.47317
1609461140,37.55714
1609461140,38.8386
1609461140,37.95591
1609461140,38.83
1609461140,37.98587
1609461141,38.73702
1609461141,37.93
1609461141,38.10306
1609461141,37.9202
1609461141,37.17667
1609461141,38.05596
1609461141,37.33793
1609461141,38.28833
1609461141,37.59218
1609461141,38.48982
1609461141,37.81456
1609461141,38.64983
1609461141,37.99475
1609461141,38.68967
1609461141,38.05541
1609461141,38.64952
1609461141,38.03603
1609461141,38.53188
1609461142,37.93908
1609461142,37.87818
1609461142,38.34463
1609461142,37.78074
1609461142,38.38348
1609461142,37.83514
1609461142,38.61183
1609461142,38.07556
1609461142,38.75315
1609461142,38.22946
1609461142,38.81
1609461142,38.29934
1609461142,38.72675
1609461142,38.23026
1609461142,38.29329
1609461142,38.07262
1609461142,38.02136
1609461142,38.49829
1609461143,38.03446
1609461143,38.64286
1609461143,38.18824
1609461143,38.77698
1609461143,38.33127
1609461143,38.89591
1609461143,38.45888
1609461143,38.86544
1609461143,38.43835
1609461143,38.805
1609461143,38.38774
1609461143,38.28574
1609461143,38.63905
1609461143,38.23656
1609461143,38.7333
1609461143,38.33806
1609461143,38.85929
1609461143,38.4707
1609461144,38.90584
1609461144,38.52441
1609461144,38.8402
1609461144,38.46673
1609461144,38.56371
1609461144,38.31764
1609461144,37.95954
1609461144,38.36518
1609461144,38.01321
1609461144,38.47945
1609461144,38.13279
1609461144,38.58107
1609461144,38.23965
1609461144,38.59483
1609461144,38.25922
1609461144,38.57914
1609461144,38.2494
1609461144,38.24119
1609461144,38.27622
1609461144,37.95725
1609461145,38.37893
1609461145,38.06434
1609461145,38.46919
1609461145,38.15895
1609461145,38.52456
1609461145,38.21881
1609461145,38.48614
1609461145,38.18547
1609461145,38.13876
1609461145,38.40423
1609461145,38.11107
1609461145,38.46493
1609461145,38.17572
1609461145,38.57873
1609461145,38.29297
1609461145,38.66566
1609461145,38.38343
1609461145,38.69551
1609461146,38.41712
1609461146,38.51764
1609461146,38.45667
1609461146,38.18584
1609461146,38.52315
1609461146,38.25563
1609461146,38.60765
1609461146,38.34322
1609461146,38.68442
1609461146,38.42304
1609461146,38.67208
1609461146,38.41427
1609461146,38.50749
1609461146,38.29414
1609461146,38.04386
1609461146,38.33513
1609461146,38.08781
1609461146,38.40378
1609461147,38.15917
1609461147,38.47981
1609461147,38.2378
1609461147,38.48188
1609461147,38.81243
1609461147,38.57284
1609461147,38.82607
1609461147,38.58933
1609461147,38.79867
1609461147,38.56494
1609461147,38.54767
1609461147,38.76303
1609461147,38.53367
1609461147,38.84171
1609461147,38.61456
1609461147,38.90924
1609461147,38.68434
1609461147,38.93103
1609461148,38.70857
1609461148,38.91142
1609461148,38.69158
1609461148,38.68095
1609461148,38.84748
1609461148,38.63167
1609461148,38.89569
1609461148,38.68198
1609461148,38.87022
1609461148,38.65897
1609461148,38.6394
1609461148,38.82742
1609461148,38.61979
1609461148,38.90894
1609461148,38.70307
1609461148,38.97947
1609461148,38.77539
1609461148,39.00771
1609461149,38.8056
1609461149,38.95284
1609461149,38.75308
1609461149,38.68352
1609461149,38.88437
1609461149,38.68798
1609461149,38.93186
1609461149,38.7372
1609461149,38.54448
1609461149,38.73391
1609461149,38.5431
1609461149,38.61774
1609461149,38.55502
1609461149,38.36786
1609461149,38.60619
1609461149,38.42058
1609461149,38.66249
1609461149,38.47838
1609461150,38.68891
1609461150,38.50642
1609461150,38.65695
1609461150,38.47631
1609461150,38.47596
1609461150,38.64157
1609461150,38.4635
1609461150,38.6945
1609461150,38.51781
1609461150,38.753
1609461150,38.99041
1609461150,38.81477
1609461150,38.99305
1609461150,38.81897
1609461150,38.81782
1609461150,38.95124
1609461151,38.77965
1609461151,38.98298
1609461151,38.81275
1609461151,39.03505
1609461151,38.86606
1609461151,39.03858
1609461151,38.87103
1609461151,38.97367
1609461151,38.81396
1609461151,38.64949
1609461151,38.83553
1609461151,38.67235
1609461151,38.88151
1609461151,38.7195
1609461151,38.55884
1609461151,38.69509
1609461151,38.53584
1609461151,38.42709
1609461152,38.60139
1609461152,38.44447
1609461152,38.64
1609461152,38.4842
1609461152,38.67478
1609461152,38.52008
1609461152,38.65542
1609461152,38.50203
1609461152,38.46684
1609461152,38.61402
1609461152,38.46259
1609461152,38.65555
1609461152,38.50514
1609461152,38.73612
1609461152,38.58656
1609461152,38.7502
1609461152,38.60172
1609461152,38.78424
1609461153,38.63677
1609461153,38.76924
1609461153,38.62294
1609461153,38.64981
1609461153,38.77596
1609461153,38.63127
1609461153,38.80952
1609461153,38.66578
1609461153,38.8479
1609461153,38.70507
1609461153,38.83821
1609461153,38.69646
1609461153,38.69305
1609461153,38.74014
1609461153,38.60029
1609461153,38.79015
1609461153,38.65111
1609461153,38.83257
1609461154,38.71544
1609461154,38.89142
1609461154,38.75399
1609461154,38.9331
1609461154,38.79649
1609461154,38.94675
1609461154,38.81105
1609461154,38.8591
1609461154,38.76228
1609461154,38.62862
1609461154,38.79725
1609461154,38.66438
1609461154,38.82519
1609461154,38.69313
1609461154,38.82994
1609461154,38.69875
1609461154,38.74734
1609461154,38.69087
1609461154,38.56148
1609461154,38.73647
1609461155,38.86881
1609461155,38.7401
1609461155,38.69093
1609461155,38.81264
1609461155,38.68538
1609461155,38.8351
1609461155,38.7086
1609461155,38.85468
1609461155,38.72893
1609461155,38.83681
1609461155,38.71193
1609461155,38.62273
1609461155,38.76057
1609461155,38.63713
1609461155,38.79543
1609461155,38.67266
1609461155,38.79145
1609461155,38.66946
1609461156,38.73285
1609461156,38.64581
1609461156,38.5319
1609461156,38.67913
1609461156,38.55938
1609461156,38.71204
1609461156,38.59292
1609461156,38.69984
1609461156,38.5815
1609461156,38.59902
1609461156,38.65486
1609461156,38.53773
1609461156,38.68916
1609461156,38.57262
1609461156,38.72351
1609461156,38.60758
1609461156,38.71111
1609461156,38.59589
1609461157,38.57679
1609461157,38.69559
1609461157,38.58145
1609461157,38.7278
1609461157,38.61422
1609461157,38.74371
1609461157,38.63076
1609461157,38.69756
1609461157,38.59142
1609461157,38.47989
1609461157,38.6291
1609461157,38.5181
1609461157,38.68378
1609461157,38.57326
1609461157,38.67718
1609461157,38.5673
1609461157,38.54689
1609461157,38.63599
1609461158,38.52716
1609461158,38.66438
1609461158,38.55608
1609461158,38.69157
1609461158,38.58379
1609461158,38.66864
1609461158,38.77208
1609461158,38.66498
1609461158,38.78992
1609461158,38.68336
1609461158,38.79701
1609461158,38.69101
1609461158,38.72992
1609461158,38.69815
1609461158,38.59328
1609461158,38.7234
1609461158,38.61903
1609461158,38.75398
1609461159,38.65008
1609461159,38.75212
1609461159,38.64878
1609461159,38.59917
1609461159,38.71369
1609461159,38.61127
1609461159,38.74755
1609461159,38.64558
1609461159,38.54415
1609461159,38.67785
1609461159,38.57687
1609461159,38.69188
1609461159,38.59138
1609461159,38.67049
1609461159,38.57057
1609461159,38.47116
1609461159,38.59031
1609461159,38.49136
1609461160,38.63399
1609461160,38.53543
1609461160,38.62143
1609461160,38.5234
1609461160,38.49595
1609461160,38.59391
1609461160,38.4967
1609461160,38.61832
1609461160,38.52153
1609461160,38.63087
1609461160,38.75085
1609461160,38.65445
1609461160,38.68442
1609461160,38.69324
1609461160,38.5977
1609461160,38.72062
1609461160,38.62548
1609461161,38.73831
1609461161,38.64359
1609461161,38.7082
1609461161,38.61479
1609461161,38.5234
1609461161,38.63821
1609461161,38.54488
1609461161,38.66564
1609461161,38.57269
